reading_date,meter_address,gateway_id,consumption,volume,hardware,leakage,burst,freeze,tamper,power_low,empty_spool,reverse_flow,routelist_id
2025-01-01,EN123456,gw_4,8,2588,1,1,1,1,1,0,0,0,route_2
2025-01-02,EN123456,gw_5,12,2600,1,0,1,0,0,1,1,1,route_2
2025-01-03,EN123456,gw_5,10,2610,1,1,1,0,1,1,0,0,route_3
2025-01-04,EN123456,gw_4,5,2615,1,1,0,1,1,1,1,1,route_3
2025-01-05,EN123456,gw_4,12,2627,1,1,1,1,0,0,1,0,route_2
2025-01-06,EN123456,gw_1,14,2641,0,1,1,0,0,1,1,1,route_3
2025-01-07,EN123456,gw_4,6,2647,1,0,0,1,1,1,0,0,route_2
2025-01-08,EN123456,gw_5,13,2660,1,1,0,0,1,0,0,0,route_2
2025-01-09,EN123456,gw_2,7,2667,1,0,0,0,0,1,1,0,route_2
2025-01-10,EN123456,gw_3,10,2677,1,1,1,1,1,0,0,0,route_2
2025-01-11,EN123456,gw_2,15,2692,0,0,0,0,1,0,0,1,route_3
2025-01-12,EN123456,gw_5,8,2700,1,0,0,1,0,1,1,1,route_1
2025-01-13,EN123456,gw_2,6,2706,1,1,0,0,0,1,1,0,route_3
2025-01-14,EN123456,gw_1,15,2721,1,1,0,1,0,1,0,1,route_3
2025-01-15,EN123456,gw_5,5,2726,1,0,1,0,0,1,0,0,route_1
2025-01-16,EN123456,gw_5,9,2735,1,0,1,1,1,0,0,0,route_2
2025-01-17,EN123456,gw_4,11,2746,1,0,0,0,0,1,1,0,route_3
2025-01-18,EN123456,gw_2,8,2754,0,0,1,1,1,1,0,0,route_1
2025-01-19,EN123456,gw_1,6,2760,0,1,0,1,0,0,1,0,route_2
2025-01-20,EN123456,gw_2,11,2771,1,0,1,0,1,1,1,0,route_2
2025-01-21,EN123456,gw_5,11,2782,0,0,0,0,1,1,1,0,route_3
2025-01-22,EN123456,gw_4,14,2796,1,0,0,1,1,0,1,0,route_2
2025-01-23,EN123456,gw_1,8,2804,1,1,1,0,1,0,0,0,route_2
2025-01-24,EN123456,gw_2,11,2815,0,0,0,0,1,1,1,0,route_2
2025-01-25,EN123456,gw_3,12,2827,0,0,0,0,0,1,0,1,route_2
2025-01-26,EN123456,gw_2,7,2834,0,1,1,1,0,0,0,0,route_2
2025-01-27,EN123456,gw_4,11,2845,0,0,0,0,1,0,1,0,route_2
2025-01-28,EN123456,gw_1,8,2853,1,0,0,0,1,1,0,0,route_2
2025-01-29,EN123456,gw_2,10,2863,1,1,1,1,0,0,0,0,route_2
2025-01-30,EN123456,gw_5,9,2872,1,0,0,0,0,1,0,1,route_1
2025-01-31,EN123456,gw_3,11,2883,1,0,1,0,0,0,0,1,route_3
2025-02-01,EN123456,gw_1,14,2897,0,1,0,0,0,1,0,1,route_1
2025-02-02,EN123456,gw_4,7,2904,0,0,1,0,1,1,0,1,route_2
2025-02-03,EN123456,gw_2,6,2910,0,1,0,0,0,1,1,1,route_3
2025-02-04,EN123456,gw_1,6,2916,1,1,1,1,1,1,1,0,route_1
2025-02-05,EN123456,gw_3,14,2930,1,1,1,0,1,0,0,0,route_2
2025-02-06,EN123456,gw_2,10,2940,1,0,1,0,1,1,1,1,route_1
2025-02-07,EN123456,gw_4,12,2952,0,1,1,1,0,1,1,1,route_3
2025-02-08,EN123456,gw_1,8,2960,0,1,1,0,1,0,0,1,route_3
2025-02-09,EN123456,gw_2,14,2974,0,0,1,1,0,1,1,1,route_2
2025-02-10,EN123456,gw_3,13,2987,0,1,1,1,1,0,1,0,route_2
2025-02-11,EN123456,gw_1,14,3001,0,1,1,0,1,1,0,1,route_2
2025-02-12,EN123456,gw_2,0,3001,1,0,1,1,1,1,0,1,route_2
2025-02-13,EN123456,gw_2,11,3012,1,1,1,1,1,0,0,0,route_3
2025-02-14,EN123456,gw_4,13,3025,1,0,0,1,0,1,0,1,route_3
2025-02-15,EN123456,gw_1,8,3033,1,0,0,0,0,1,0,1,route_2
2025-02-16,EN123456,gw_3,14,3047,0,1,0,1,0,0,0,1,route_1
2025-02-17,EN123456,gw_5,13,3060,1,0,1,0,0,0,0,0,route_3
2025-02-18,EN123456,gw_2,6,3066,1,1,0,1,0,0,0,1,route_2
2025-02-19,EN123456,gw_3,9,3075,0,0,1,0,0,0,1,0,route_1
2025-02-20,EN123456,gw_4,5,3080,1,1,1,0,1,1,1,1,route_1
2025-02-21,EN123456,gw_4,8,3088,1,0,0,1,1,1,1,0,route_1
2025-02-22,EN123456,gw_1,12,3100,0,0,0,0,1,1,1,1,route_2
2025-02-23,EN123456,gw_3,7,3107,1,1,0,1,0,1,1,0,route_3
2025-02-24,EN123456,gw_2,0,3107,1,0,0,0,0,0,1,0,route_2
2025-02-25,EN123456,gw_3,14,3121,1,0,1,0,0,1,0,0,route_1
2025-02-26,EN123456,gw_3,9,3130,0,0,0,0,1,0,0,0,route_1
2025-02-27,EN123456,gw_3,15,3145,0,0,1,0,1,0,1,1,route_2
2025-02-28,EN123456,gw_2,5,3150,1,0,0,0,1,1,0,1,route_1
2025-03-01,EN123456,gw_1,13,3163,1,0,1,1,0,1,0,1,route_1
2025-03-02,EN123456,gw_5,7,3170,1,0,1,0,1,0,1,1,route_3
2025-03-03,EN123456,gw_4,7,3177,0,0,1,1,1,0,1,0,route_2
2025-03-04,EN123456,gw_2,13,3190,1,0,0,0,1,0,1,1,route_1
2025-03-05,EN123456,gw_3,15,3205,0,0,1,0,0,1,0,0,route_3
2025-03-06,EN123456,gw_5,13,3218,0,1,1,0,1,1,0,1,route_1
2025-03-07,EN123456,gw_5,11,3229,0,1,0,1,0,0,0,0,route_2
2025-03-08,EN123456,gw_2,15,3244,0,1,0,0,1,0,0,1,route_3
2025-03-09,EN123456,gw_5,0,3244,1,0,0,0,1,1,0,0,route_2
2025-03-10,EN123456,gw_3,7,3251,1,0,1,1,1,1,1,1,route_3
2025-03-11,EN123456,gw_2,11,3262,1,1,1,0,0,0,0,0,route_1
