reading_date,meter_address,gateway_id,consumption,volume,hardware,leakage,burst,freeze,tamper,power_low,empty_spool,reverse_flow,routelist_id,,
2025-01-01,15923695,gw_2,5,1516,0,1,0,1,1,1,0,0,route_1,,
2025-01-02,15923695,gw_4,0,1513,1,1,1,0,0,0,0,1,route_2,,
2025-01-03,15923695,gw_4,12,1525,1,1,0,0,0,1,0,0,route_1,,
2025-01-04,15923695,gw_5,9,1534,0,0,0,1,1,1,0,0,route_1,,2
2025-01-05,15923695,gw_4,11,1545,0,1,0,0,1,0,0,1,route_3,,
2025-01-06,15923695,gw_1,11,1556,0,1,1,0,0,0,0,1,route_1,,
2025-01-07,15923695,gw_3,13,1569,1,1,1,1,1,0,1,1,route_1,,
2025-01-08,15923695,gw_4,15,1584,1,1,1,0,0,0,1,1,route_2,,
2025-01-09,15923695,gw_2,15,1599,0,1,1,0,0,0,0,0,route_3,,
2025-01-10,15923695,gw_3,9,1608,1,1,0,1,0,0,1,1,route_1,,
2025-01-11,15923695,gw_1,13,1621,0,1,0,1,1,0,0,0,route_2,,
2025-01-12,15923695,gw_2,9,1630,0,1,1,0,1,0,1,0,route_1,,
2025-01-13,15923695,gw_2,8,1638,1,1,1,0,0,0,1,0,route_2,,
2025-01-14,15923695,gw_4,5,1643,0,1,0,1,1,0,0,1,route_1,,
2025-01-15,15923695,gw_1,12,1655,1,0,0,1,1,1,1,1,route_3,,
2025-01-16,15923695,gw_3,11,1666,1,1,1,1,1,0,0,1,route_1,,
2025-01-17,15923695,gw_2,0,1662,0,0,0,0,1,0,1,0,route_1,,
2025-01-18,15923695,gw_4,13,1675,1,0,0,0,0,1,0,0,route_2,,
2025-01-19,15923695,gw_4,10,1685,1,1,0,0,1,0,0,1,route_1,,
2025-01-20,15923695,gw_1,7,1692,1,1,0,0,1,0,0,1,route_2,,
2025-01-21,15923695,gw_3,13,1705,1,0,0,0,1,0,0,1,route_3,,
2025-01-22,15923695,gw_2,9,1714,1,1,0,1,0,0,1,0,route_3,,
2025-01-23,15923695,gw_1,5,1719,0,0,1,0,0,0,1,1,route_3,,
2025-01-24,15923695,gw_5,7,1726,1,1,0,1,1,1,0,1,route_1,,
2025-01-25,15923695,gw_5,12,1738,1,0,0,0,0,1,0,1,route_3,,
2025-01-26,15923695,gw_2,12,1750,1,1,1,0,0,0,1,1,route_1,,
2025-01-27,15923695,gw_1,12,1762,1,1,1,0,1,1,1,1,route_1,,
2025-01-28,15923695,gw_5,5,1767,1,1,0,0,0,0,1,0,route_1,,
2025-01-29,15923695,gw_4,14,1781,0,1,0,0,0,0,0,0,route_2,,
2025-01-30,15923695,gw_2,14,1795,0,0,1,0,1,1,0,1,route_3,,
2025-01-31,15923695,gw_3,8,1803,0,1,0,1,0,1,1,0,route_2,,
2025-02-01,15923695,gw_3,15,1818,0,0,0,0,0,0,0,1,route_3,,
2025-02-02,15923695,gw_3,7,1825,0,1,1,0,0,0,0,0,route_1,,
2025-02-03,15923695,gw_4,0,1817,0,1,0,0,1,1,0,1,route_3,,
2025-02-04,15923695,gw_1,14,1831,1,1,0,1,1,1,1,1,route_2,,
2025-02-05,15923695,gw_1,6,1837,1,0,1,0,1,0,1,0,route_1,,
2025-02-06,15923695,gw_4,0,1830,0,1,0,0,0,0,0,1,route_2,,
2025-02-07,15923695,gw_3,15,1845,1,0,0,0,1,0,1,0,route_3,,
2025-02-08,15923695,gw_1,5,1850,1,0,1,0,0,0,0,0,route_2,,
2025-02-09,15923695,gw_3,15,1865,1,1,1,1,1,0,0,1,route_2,,
2025-02-10,15923695,gw_1,7,1872,0,0,0,1,1,0,1,1,route_2,,
2025-02-11,15923695,gw_2,14,1886,0,0,1,1,1,0,1,1,route_2,,
2025-02-12,15923695,gw_1,15,1901,1,0,1,0,0,1,0,1,route_1,,
2025-02-13,15923695,gw_4,5,1906,1,1,0,0,0,1,1,1,route_3,,
2025-02-14,15923695,gw_4,14,1920,0,1,1,0,1,1,0,1,route_1,,
2025-02-15,15923695,gw_4,12,1932,1,1,0,0,1,1,0,0,route_1,,
2025-02-16,15923695,gw_4,11,1943,1,1,0,0,0,0,0,0,route_1,,
2025-02-17,15923695,gw_4,15,1958,0,0,0,1,1,1,0,0,route_1,,
2025-02-18,15923695,gw_3,10,1968,0,1,0,1,0,0,0,0,route_1,,
2025-02-19,15923695,gw_2,8,1976,1,0,1,0,0,1,1,1,route_2,,
2025-02-20,15923695,gw_3,11,1987,1,1,0,1,1,1,1,0,route_1,,
2025-02-21,15923695,gw_5,11,1998,1,1,0,1,1,1,0,1,route_1,,
2025-02-22,15923695,gw_3,15,2013,0,0,0,1,0,0,1,1,route_2,,
2025-02-23,15923695,gw_1,11,2024,1,1,1,0,0,1,0,0,route_3,,
2025-02-24,15923695,gw_3,0,2021,1,0,0,0,1,0,0,0,route_3,,
2025-02-25,15923695,gw_4,5,2026,1,1,0,0,0,0,1,1,route_2,,
2025-02-26,15923695,gw_5,11,2037,0,1,1,0,1,0,1,0,route_3,,
2025-02-27,15923695,gw_4,7,2044,1,1,0,1,1,1,0,1,route_3,,
2025-02-28,15923695,gw_4,10,2054,0,1,1,0,1,1,1,0,route_2,,
2025-03-01,15923695,gw_2,11,2065,0,0,1,1,0,0,1,1,route_2,,
2025-03-02,15923695,gw_5,6,2071,0,0,1,1,1,1,1,0,route_2,,
2025-03-03,15923695,gw_1,12,2083,1,1,0,1,1,1,1,0,route_3,,
2025-03-04,15923695,gw_5,11,2094,1,0,0,1,1,1,0,0,route_3,,
2025-03-05,15923695,gw_5,10,2104,1,0,1,0,1,1,1,0,route_2,,
2025-03-06,15923695,gw_2,9,2113,0,0,1,1,1,0,1,1,route_1,,
2025-03-07,15923695,gw_2,14,2127,1,0,0,0,1,1,0,0,route_3,,
2025-03-08,15923695,gw_2,15,2142,1,0,0,1,1,0,0,0,route_1,,
2025-03-09,15923695,gw_2,12,2154,1,0,1,0,0,0,1,1,route_3,,
2025-03-10,15923695,gw_4,13,2167,1,0,0,1,1,1,1,1,route_2,,
2025-03-11,15923695,gw_4,9,2176,1,1,0,1,0,1,1,0,route_3,,
2025-03-12,15923695,gw_2,10,2186,0,0,0,1,1,0,1,0,route_3,,
2025-03-13,15923695,gw_2,6,2192,0,0,0,0,0,1,1,0,route_2,,
2025-03-14,15923695,gw_1,14,2206,0,1,1,1,1,0,1,1,route_2,,
2025-03-15,15923695,gw_2,15,2221,0,1,0,1,1,1,1,1,route_3,,
2025-03-16,15923695,gw_2,5,2226,0,1,0,0,0,1,0,1,route_1,,
2025-03-17,15923695,gw_4,10,2236,1,1,0,1,1,1,1,0,route_3,,
2025-03-18,15923695,gw_2,15,2251,0,1,0,1,0,0,0,0,route_2,,
2025-03-19,15923695,gw_2,11,2262,0,1,1,0,1,1,1,0,route_2,,
2025-03-20,15923695,gw_2,5,2267,0,1,0,0,0,1,0,1,route_1,,
2025-03-21,15923695,gw_1,7,2274,1,1,0,0,0,0,0,0,route_2,,
2025-03-22,15923695,gw_3,6,2280,0,0,0,0,0,1,1,0,route_3,,
2025-03-23,15923695,gw_5,12,2292,1,1,1,0,0,0,1,1,route_2,,
2025-03-24,15923695,gw_2,6,2298,1,0,1,1,1,1,0,1,route_2,,
2025-03-25,15923695,gw_3,13,2311,1,0,1,0,1,0,1,1,route_2,,
2025-03-26,15923695,gw_3,5,2316,0,1,1,0,0,1,0,1,route_2,,
2025-03-27,15923695,gw_2,8,2324,0,0,1,1,1,0,1,1,route_2,,
2025-03-28,15923695,gw_1,15,2339,0,1,0,0,0,0,1,1,route_3,,
2025-03-29,15923695,gw_1,15,2354,1,0,0,1,1,1,0,1,route_3,,
2025-03-30,15923695,gw_2,0,2352,0,0,1,0,0,1,0,0,route_1,,
2025-03-31,15923695,gw_2,6,2358,1,1,0,0,0,0,0,0,route_1,,
2025-04-01,15923695,gw_4,15,2373,0,1,0,1,0,0,1,1,route_3,,
2025-04-02,15923695,gw_3,9,2382,0,0,1,1,0,1,1,1,route_3,,
