code,diameter,encryption_protocol,manufacturer,model,sector_id,status,client_id,owner
15923695,DN15,NB-IoT,Axioma,Qalcosonic W1,2,ACTIVE,larisa,george
5923683,DN15,NB-IoT,Axioma,Qalcosonic W1,2,ACTIVE,larisa,filio
43499,"1/2""",,,,1,ACTIVE,larisa,maximos
51052,"1/2""",,,,1,ACTIVE,larisa,john
20901,"1/2""",,,,1,ACTIVE,larisa,nestoras
70811,"1/2""",,,,1,ACTIVE,larisa,panagiota
58262,"1/2""",,,,1,ACTIVE,larisa,polyxeni
42465,"1/2""",,,,1,ACTIVE,larisa,dimitrios
58948,"1/2""",,,,1,ACTIVE,larisa,sideris
54596,"1/2""",,,,1,ACTIVE,larisa,isidora
